sim,variable,unit,quarter,h,diff
Sim2,CPIXFOR,%,0007Q1,5,-0.1303072954491995
Sim2,CPIXFOR,%,0007Q2,6,-0.12671265358925154
Sim2,CPIXFOR,%,0007Q3,7,-0.1174850040606259
Sim2,CPIXFOR,%,0007Q4,8,-0.1075197218662538
Sim2,CPIXFOR,%,0008Q1,9,-0.09622555194756899
Sim2,CPIXFOR,%,0008Q2,10,-0.08534203710294719
Sim2,CPIXFOR,%,0008Q3,11,-0.06915512153311454
Sim2,CPIXFOR,%,0008Q4,12,-0.05264763220658608
Sim2,CPIXFOR,%,0009Q1,13,-0.0354927012068913
Sim2,CPIXFOR,%,0009Q2,14,-0.019512623029058318
Sim2,CPIXFOR,%,0009Q3,15,0.0011996478932729815
Sim2,CPIXFOR,%,0009Q4,16,0.02132758987617933
Sim2,CPIXFOR,%,0010Q1,17,0.04114413081293833
Sim2,CPIXFOR,%,0010Q2,18,0.058675445329868126
Sim2,CPIXFOR,%,0010Q3,19,0.0801331466224724
Sim2,CPIXFOR,%,0010Q4,20,0.09998027311928581
Sim3,GDP,%,0006Q1,1,0.6044209189365972
Sim3,GDP,%,0006Q2,2,0.55273726058698
Sim3,GDP,%,0006Q3,3,0.5557517472997375
Sim3,GDP,%,0006Q4,4,0.5580648495578231
Sim3,GDP,%,0007Q1,5,0.5290735867809531
Sim3,GDP,%,0007Q2,6,0.4954251544844652
Sim3,GDP,%,0007Q3,7,0.4770670872310063
Sim3,GDP,%,0007Q4,8,0.4497905785013643
Sim3,GDP,%,0008Q1,9,0.42626410305915385
Sim3,GDP,%,0008Q2,10,0.40229228032602293
Sim3,GDP,%,0008Q3,11,0.3791902674888945
Sim3,GDP,%,0008Q4,12,0.3543479974725301
Sim3,GDP,%,0009Q1,13,0.3279667800941013
Sim3,GDP,%,0009Q2,14,0.29990841391199297
Sim3,GDP,%,0009Q3,15,0.27013296220724214
Sim3,GDP,%,0009Q4,16,0.23900323568616955
Sim3,GDP,%,0010Q1,17,0.20693099628563516
Sim3,GDP,%,0010Q2,18,0.17626466252760054
Sim3,GDP,%,0010Q3,19,0.14705155577784979
Sim3,GDP,%,0010Q4,20,0.11947952375344073
Sim3,CP,%,0006Q1,1,0.0
Sim3,CP,%,0006Q2,2,0.02277959406826824
Sim3,CP,%,0006Q3,3,0.08060919216194407
Sim3,CP,%,0006Q4,4,0.1398727412995413
Sim3,CP,%,0007Q1,5,0.19678292433657418
Sim3,CP,%,0007Q2,6,0.24219090242868901
Sim3,CP,%,0007Q3,7,0.2759897318253053
Sim3,CP,%,0007Q4,8,0.2973062983660384
Sim3,CP,%,0008Q1,9,0.3079879880209404
Sim3,CP,%,0008Q2,10,0.30909855427596256
Sim3,CP,%,0008Q3,11,0.30256540562004375
Sim3,CP,%,0008Q4,12,0.2900519758434683
Sim3,CP,%,0009Q1,13,0.2731366212157127
Sim3,CP,%,0009Q2,14,0.253077090834509
Sim3,CP,%,0009Q3,15,0.23086126641666738
Sim3,CP,%,0009Q4,16,0.20729813747124126
Sim3,CP,%,0010Q1,17,0.18303357540547438
Sim3,CP,%,0010Q2,18,0.15859726918246508
Sim3,CP,%,0010Q3,19,0.1344142701374551
Sim3,CP,%,0010Q4,20,0.11093472244152736
Sim3,INV,%,0006Q1,1,0.23147700111880454
Sim3,INV,%,0006Q2,2,0.7402946502996173
Sim3,INV,%,0006Q3,3,1.1310026209504116
Sim3,INV,%,0006Q4,4,1.3893639854452289
Sim3,INV,%,0007Q1,5,1.308968281071344
Sim3,INV,%,0007Q2,6,1.1600729168929007
Sim3,INV,%,0007Q3,7,1.036452851133319
Sim3,INV,%,0007Q4,8,0.9502543912827974
Sim3,INV,%,0008Q1,9,0.8901621379152402
Sim3,INV,%,0008Q2,10,0.8471380966462476
Sim3,INV,%,0008Q3,11,0.8126008807906544
Sim3,INV,%,0008Q4,12,0.7821150783821054
Sim3,INV,%,0009Q1,13,0.7520333864760715
Sim3,INV,%,0009Q2,14,0.7204819389483816
Sim3,INV,%,0009Q3,15,0.6865105410300174
Sim3,INV,%,0009Q4,16,0.6497849743223583
Sim3,INV,%,0010Q1,17,0.6103871909136416
Sim3,INV,%,0010Q2,18,0.5685376700095333
Sim3,INV,%,0010Q3,19,0.5255714807046843
